match_id,date_utc,league,home,away,venue
1,2025-09-20 19:30,BRA-SerieA,Flamengo,Vasco,Maracanã/RJ
2,2025-09-20 19:30,BRA-SerieA,Palmeiras,Santos,Allianz Parque/SP
3,2025-09-20 19:30,BRA-SerieA,Corinthians,São Paulo,Neo Química Arena/SP
4,2025-09-20 19:30,BRA-SerieA,Grêmio,Inter,Arena do Grêmio/RS
5,2025-09-20 19:30,BRA-SerieA,Atlético-MG,Cruzeiro,Arena MRV/MG
6,2025-09-20 19:30,BRA-SerieA,Bahia,Vitória,Arena Fonte Nova/BA
7,2025-09-20 19:30,BRA-SerieA,Botafogo,Fluminense,Nilton Santos/RJ
8,2025-09-20 19:30,BRA-SerieA,Athletico-PR,Coritiba,Ligga Arena/PR
9,2025-09-20 19:30,BRA-SerieA,Fortaleza,Ceará,Castelão/CE
10,2025-09-20 19:30,BRA-SerieA,Bragantino,América-MG,Nabizão/SP
11,2025-09-20 19:30,BRA-SerieA,Chapecoense,Avaí,Arena Condá/SC
12,2025-09-20 19:30,BRA-SerieA,Goias,Atletico-GO,Serra Dourada/GO
13,2025-09-20 19:30,BRA-SerieA,Juventude,Cuiabá,Alfredo Jaconi/RS
14,2025-09-21 20:30,BRA-SerieA,Sport,Náutico,Ilha do Retiro/PE
